id	theta	r	color	phy	bg_color
s__Tissierellia_bacterium_KA00581	0	0	#85D696	p__Firmicutes	#D1F0D8
s__Bacteroides_coagulans	0.019883497807530338	20	#85D696	p__Firmicutes	#D1F0D8
s__Sporanaerobacter_sp_PP17_6a	1.067081049004128	20	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_oral_taxon_386	2.1142786002007257	20	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_HMSC062D09	3.1614761513973235	20	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_DNF00840	4.208673702593921	20	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_BV3C26	5.255871253790518	20	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_lacrimalis	0.039766995615060675	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_harei	0.5633657712133595	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_grossensis	1.0869645468116582	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_duerdenii	1.6105633224099571	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_coxii	2.134162098008256	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_asaccharolyticus	2.6577608736065548	40	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_oral_taxon_393	3.181359649204854	40	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_oral_taxon_110	3.7049584248031526	40	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_KA00067	4.228557200401451	40	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_micra	4.7521559759997505	40	#85D696	p__Firmicutes	#D1F0D8
s__Helcococcus_kunzii	5.275754751598049	40	#85D696	p__Firmicutes	#D1F0D8
s__Finegoldia_magna	5.799353527196348	40	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_vaginalis	0.05965049342259102	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_tetradius	0.40871634382145694	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_prevotii	0.7577821942203228	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_octavius	1.1068480446191886	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_nagyae	1.4559138950180546	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_lactolyticus	1.8049797454169205	60	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_hydrogenalis	2.1540455958157865	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_tobetsuensis	2.5031114462146524	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_sp_T11011_6	2.8521772966135184	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_sp_CAG_933	3.2012431470123843	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_seminalis	3.5503089974112503	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_rogosae	3.8993748478101162	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_rodentium	4.248440698208982	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_parvula	4.597506548607848	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_montpellierensis	4.946572399006714	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_infantium	5.29563824940558	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_dispar	5.6447040998044455	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_denticariosi	5.993769950203311	60	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_atypica	0.07953399123012135	80	#85D696	p__Firmicutes	#D1F0D8
s__Veillonellaceae_bacterium_DNF00626	0.3308614035173048	80	#85D696	p__Firmicutes	#D1F0D8
s__Negativicoccus_succinicivorans	0.5821888158044883	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_stantonii	0.8335162280916718	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_MJR8396C	1.0848436403788553	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_DISK_18	1.3361710526660386	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_BV3C16_1	1.5874984649532222	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_micronuciformis	1.8388258772404058	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_hexanoica	2.090153289527589	80	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_elsdenii	2.3414807018147723	80	#85D696	p__Firmicutes	#D1F0D8
